NICKNAME,SLOTID,CREATEDON,CREATEDBY,UPDATEDON,UPDATEDBY,WAREHOUSEID,ZONE,FROMDTIME,TODTIME,SLOT,PRODUCTCATEGORY
CSP1 LA,361888,9/30/2024 10:25,87478,,,W0088,D,10/11/2024 8:00,10/11/2024 17:00,7,
CSP1 LA,361875,9/30/2024 10:23,87478,,,W0088,B,10/9/2024 8:00,10/9/2024 17:00,7,
CSP1 LA,361869,9/30/2024 10:22,87478,,,W0088,A,10/8/2024 8:00,10/8/2024 17:00,22,
CSP1 LA,361866,9/30/2024 10:22,87478,,,W0088,D,10/7/2024 8:00,10/7/2024 17:00,7,
CSP1 LA,362803,10/2/2024 12:28,61978,,,W0088,A,10/5/2024 8:00,10/5/2024 17:00,4,
CSP1 LA,359676,9/17/2024 7:39,61978,28:22.0,61978,W0088,W,10/5/2024 8:00,10/5/2024 17:00,0,
CSP1 LA,359656,9/17/2024 7:39,61978,,,W0088,D,10/1/2024 8:00,10/1/2024 17:00,7,
CSP1 LA,359661,9/17/2024 7:39,61978,,,W0088,D,10/2/2024 8:00,10/2/2024 17:00,10,
CSP1 LA,359666,9/17/2024 7:39,61978,,,W0088,D,10/3/2024 8:00,10/3/2024 17:00,7,
CSP1 LA,359671,9/17/2024 7:39,61978,04:33.0,87478,W0088,D,10/4/2024 8:00,10/4/2024 17:00,0,
CSP1 LA,361871,9/30/2024 10:22,87478,,,W0088,D,10/8/2024 8:00,10/8/2024 17:00,7,
CSP1 LA,361882,9/30/2024 10:24,87478,,,W0088,D,10/10/2024 8:00,10/10/2024 17:00,7,
CSP1 LA,361877,9/30/2024 10:23,87478,,,W0088,D,10/9/2024 8:00,10/9/2024 17:00,10,
CSP1 LA,362804,10/2/2024 12:28,61978,,,W0088,D,10/5/2024 8:00,10/5/2024 17:00,3,
